linkedinID,name_lnkd,industry_lnkd,type_lnkd,size_lnkd,founded_lnkd,website_lnkd,hqcity_lnkd,hqstate_lnkd,hqzip_lnkd,hqcountry_lnkd,specialties_lnkd,description_lnkd
imc-financial-markets-asset-management,IMC financial markets & asset management,Investment Management,Privately Held,501-1000 employees,1989,http://www.imc.nl,Amsterdam,Noord Holland,1077 XX,Netherlands,"proprietary trading, asset management, brokerage, private banking and risk management","IMC is a global financial institution structured around two core entities, IMC financial markets and IMC asset management. IMC has a presence in Amsterdam, New York, Chicago, Hong Kong, Sydney, and Zug. IMC financial markets is a successful proprietary trading group, active across all significant markets, exchanges and instruments. IMC asset management is a leading alternative asset manager with a range of institutional and private clients. IMC and its affiliated companies employ around 650 people worldwide with its headquarters in Amsterdam, the Netherlands."
kemin-industries,Kemin Industries,Biotechnology,Privately Held,1001-5000 employees,1961,http://www.kemin.com,"Des Moines,",Iowa,50309,United States,,"Founded in 1961, Kemin Industries is celebrating its 50th Anniversary of providing –inspired molecular solutions” specifically developed to provide nutrition and health benefits for humans and animals. Kemin manufactures and distributes approximately 500 specialty ingredients worldwide to the feed and food industries as well as to the health, nutrition and beauty markets. Kemin ingredients positively impact more than 1.3 billion people a day. A global, privately-held corporation headquartered in Des Moines, Iowa (USA), Kemin has experienced double-digit growth in the last several years. The company has more than 1,200 employees and operates in 60 countries with manufacturing facilities in Belgium, Brazil, China, India, Italy, Singapore, South Africa and the United States. © Kemin Industries, Inc. and its group of companies 2012 All rights reserved. Â È Trademarks of Kemin Industries, Inc., U.S.A."
keurig-incorporated,"Keurig Green Mountain, Inc.",Consumer Goods,Public Company,"5001-10,000 employees",1981,http://www.KeurigGreenMountain.com,Waterbury,VT,5676,United States,"single-cup brewing systems, K-Cup portion packs, Keurig 2.0 Brewing System, Coffee, Tea, Coffee brewers, Office coffee brewing systems, BOLT Commercial Brewing System, K-Cup, beverages","As a leader in specialty coffee, coffee makers, teas and other beverages, Keurig Green Mountain (–Keurig”) (NASDAQ: GMCR) , is recognized for its award-winning beverages, innovative brewing technology, and socially responsible business practices. The Company has inspired consumer passion for its products by revolutionizing beverage preparation at home and in the workplace. Keurig Green Mountain supports local and global communities by investing in sustainably-grown coffee, and by its active involvement in a variety of social and environmental projects. By helping consumers drink for themselves, we believe we can brew a better world. Keurig Green Mountain, Inc. was founded as Green Mountain Coffee Roasters, Inc. in 1981 as a small caf_ in Waitsfield, Vermont. In 1993, the Company went public and that same year made an early investment in Keurig, Incorporated. The Company acquired the remainder of Keurig in 2006 and the combined company, renamed Keurig Green Mountain, Inc. in 2014, has inspired consumer passion for its products by revolutionizing beverage preparation at home and in the workplace with its KeurigÂ Brewing systems. Through the combination of the disruptive innovation of a leading-edge technology company with the consumer focus of a socially conscious, premium coffee company, Keurig is creating the ultimate beverage experience for consumers and brewing a better world."
kiewit,Kiewit,Construction,Privately Held,"10,001+ employees",1884,http://www.kiewit.com,Omaha,NE,68131,United States,"Building, Mining, Oil, Gas & Chemical, Power, Transportation, Water/Wastewater","Innovation, hard work and integrity. These are the keys to Kiewit's success. Kiewit is one of North America's largest and most respected construction and mining organizations. For over 125 years, we have delivered world-class solutions to projects of every size, in every market. No project is too challenging or unique, too big or small. Our goal for every project is the same ã build it safely, on time, on budget and with no surprises. Kiewit is successful because our people have the ability and desire to build exciting and challenging projects. Kiewit people possess a drive to excel and a willingness to take on new and unique responsibilities. We have initiative. We explore innovative ideas. We seek better solutions. We are enthusiastic, hardworking and committed to quality and excellence. As an employee-owned company, our company's assets are managed by those closest to the work. Long-term strategies are formulated by managers who grew up in the business. Most of our executives are long-time Kiewit employees who started as project engineers, superintendents and foremen. At Kiewit, employees are promoted to levels of greater responsibility on the basis of their demonstrated ability. This led Forbes magazine in 1983 to describe Kiewit as –the ultimate meritocracy.”"
lake-region,Lake Region Medical,Medical Devices,Privately Held,1001-5000 employees,1947,http://www.lakeregionmedical.com/,Wilmington,Massachusetts,1887,United States,"Complex components, sub-assemblies, and finished devices for Cardio & Vascular and Advanced Surgical Markets, Medical Device Research and Development, Vertically-Integrated Outsourced Manufacturing and Engineering Services","Lake Region Medical collaborates with the worldês leading medical device companies to deliver life-changing innovations that enhance the lives of patients. Backed by decades of experience and clinical expertise, we help customers bring products from concept to point-of-care in the Cardio & Vascular and Advanced Surgical markets. Lake Region Medical offers fully-integrated outsourced manufacturing and engineering services, contract manufacturing, finished device assembly, original device development and supply chain management services."
mcmaster-carr,McMaster-Carr,Logistics and Supply Chain,Privately Held,1001-5000 employees,1901,http://www.mcmaster.com,Elmhurst,Illinois,60126,United States,"publishing, software development, inventory management, customer service and operations","Over one hundred years ago as McMaster-Carr was first opening its doors there were very few automobiles and no airplanes, plastics or computers. Our history has coincided with developments such as mass production, the Great Depression, two world wars, the growth of the aerospace industry, computers, and the Internet. More than a century later weêve grown from a small Chicago operation selling products locally to a network of five facilities in Chicago, IL; Los Angeles, CA; Atlanta, GA; Cleveland, OH; and Princeton, NJ that serve customers all over the world. We offer hundreds of thousands of items including fasteners, pumps, casters, and raw materials. Operating now with the benefit of modern facilities and technology, we find ourselves focused on the same activities that made us successful in the beginningÄadding products to our catalog that will help our customers keep their operations running, making purchasing simple, and delivering products quickly."
medtronic,Medtronic,Medical Devices,Public Company,"10,001+ employees",1949,http://www.medtronic.com,Minneapolis,MN,55432-5604,United States,"For up to date career related info please follow us on:, http://www.facebook.com/medtroniccareers, http://www.linkedin.com/groups?gid=2352876, http://www.twitter.com/medtronicjobs","Medtronic, Inc. (www.medtronic.com), headquartered in Minneapolis, Minnesota USA is the global leader in medical technology _ alleviating pain, restoring health and extending life for millions of people around the world. Medtronic's mission is: To contribute to human welfare by application of biomedical engineering in the research, design, manufacture, and sale of instruments or appliances that alleviate pain, restore health, and extend life. To direct our growth in the areas of biomedical engineering where we display maximum strength and ability; to gather people and facilities that tend to augment these areas; to continuously build on these areas through education and knowledge assimilation; to avoid participation in areas where we cannot make unique and worthy contributions. To strive without reserve for the greatest possible reliability and quality in our products; to be the unsurpassed standard of comparison and to be recognized as a company of dedication, honesty, integrity, and service. To make a fair profit on current operations to meet our obligations, sustain our growth, and reach our goals. To recognize the personal worth of employees by providing an employment framework that allows personal satisfaction in work accomplished, security, advancement opportunity, and means to share in the company's success. To maintain good citizenship as a company. It is the policy of Medtronic to provide equal employment opportunity (EEO) to all persons regardless of age, color, national origin, citizenship status, physical or mental disability, race, religion, creed, gender, sex, sexual orientation, gender identity and/or expression, genetic information, marital status, status with regard to public assistance, veteran status, or any other characteristic protected by federal, state or local law. In addition, Medtronic will provide reasonable accommodations for qualified individuals with disabilities."
michigan-economic-development-corporation,Michigan Economic Development Corporation,Nonprofit Organization Management,Nonprofit,201-500 employees,1999,http://www.MichiganBusiness.org,,,,,"Economic Development, Entrepreneurship & Innovation, Talent & Jobs, Access to Capital, Grow Your Business","The Michigan Economic Development Corporation, a public-private partnership between the state and local communities, promotes smart economic growth by developing strategies and providing services to create and retain good jobs and a high quality of life."
microlution-inc,Microlution Inc,Machinery,Privately Held,11-50 employees,2005,http://www.microlution-inc.com,Chicago,IL,60634,United States,"Machine Tool Design, Motion Platform Design, Turn-Key Systems Integration, Machine Tool Manufacturing","Microlution is a pioneer in the development of integrated micro manufacturing solutions for precision parts. Recognizing that traditional, single purpose CNC machining systems are too slow and too expensive to create the micro parts required by today's advanced automotive, consumer, medical and aerospace products, Microlution develops integrated solutions that manufacturing finished parts in seconds. Built around core ultra precise, high speed, multi axis platforms, Microlution combines precision part loading, characterization, machining and validation from a single system. Microlution products deliver precision parts faster and more accurately than legacy solutions."
motorola-mobility,Motorola,Consumer Electronics,Public Company,1001-5000 employees,1928,http://www.motorola.com/us/home,Chicago,Illinois,60654,United States,,"Motorola is one of the worldÍs fastest growing smartphone providers, creating affordable, high-quality products and enabling mobile commerce in emerging markets. And itÍs our people who make this all happen. If you share our commitment to ingenuity, creativity and innovation, we want you to help us define our world of tomorrow."
northwestern-mutual,Northwestern Mutual,Financial Services,Privately Held,"5001-10,000 employees",1857,http://www.northwesternmutual.com,Milwaukee,WI,53202-4797,United States,To learn about our company visit Northwestern Mutual's website at www.northwesternmutual.com,"Northwestern Mutual is a financial services company that offers a variety of insurance and investment solutions. Since our founding in 1857, through every recession and every economic boom, weêve kept our focus on the long term, delivering our clients and policyowners consistent financial strength year after year. Our financial representatives build lifelong relationships to help clients identify their unique needs in order to provide long-term solutions. To learn more, go to www.NorthwesternMutual.com. Comments are encouraged, but we ask that you use good judgment when posting and respect the community. For regulatory reasons, comments about specific Northwestern Mutual products and services cannot be posted here. Also, do not post any personal data or account information. All comments will be reviewed. Inappropriate, abusive, redundant or irrelevant comments may be removed. Contact us at http://www.northwesternmutual.com/contact-us."
oak-ridge-national-laboratory,Oak Ridge National Laboratory,Research,Government Agency,1001-5000 employees,1943,http://www.ornl.gov/,"Oak Ridge,",TN,37831,United States,"computing, biosciences, reactors, science, nuclear energy, neutron science, chemistry, climate, mathematics, fusion, astrophysics","Oak Ridge National Laboratory (ORNL) is a multiprogram science and technology laboratory managed for the U.S. Department of Energy by UT-Battelle, LLC. Scientists and engineers at ORNL conduct basic and applied research and development to create scientific knowledge and technological solutions that strengthen the nation's leadership in key areas of science; increase the availability of clean, abundant energy; restore and protect the environment; and contribute to national security. ORNL also performs other work for the Department of Energy, including isotope production, information management, and technical program management, and provides research and technical assistance to other organizations."
osisoft,OSIsoft,Computer Software,Privately Held,501-1000 employees,1980,http://www.osisoft.com,"San Leandro,",CA,94577,United States,Industrial Software,"OSIsoftÂ (www.osisoft.com) delivers the PI SystemÂ, the industry standard in enterprise infrastructure, for management of real-time data and events. With installations in 107 countries spanning the globe, the OSIsoft PI System is used in manufacturing, energy, utilities, life sciences, data centers, facilities, and the process industries. This global installed base relies upon the OSIsoft PI System to safeguard data and deliver enterprise-wide visibility into operational, manufacturing and business data. The PI System enables users to manage assets, mitigate risks, comply with regulations, improve processes, drive innovation, make business decisions in real-time, and to identify competitive business and market opportunities. Founded in 1980, OSIsoft, LLC. is headquartered in San Leandro, CA, with operations worldwide and is privately held. Learn more about OSIsoft and the PI System at www.osisoft.com."
pec,PEC,Industrial Automation,Privately Held,51-200 employees,1984,http://www.peccorp.com,Leuven,-,3001,Belgium,"Test and Manufacturing Solutions for Energy Storage Devices, Cash Center Automation","30 Years of Excellence in Logistics, Manufacturing, and Testing Solutions For its global customer base, PEC offers: « Test and Manufacturing Solutions for Energy Storage Devices, such as Batteries and Ultra-Caps « Cash Center Automation solutions for Central Banks, including Automated Vaults and Cash Management Systems Our commitment to these global markets and PECs continued R&D efforts, have resulted in a significant growth in all major economical regions. Founded in 1984, PEC is now headquartered in Belgium with sales, development and manufacturing facilities in Central Europe, the United States, China and Japan. Our company is staffed with highly educated experts in different technological and functional domains, such as: « Mechanics « Robotics « Power electronics « Embedded electronics and software « PLC controls « Web services and .Net development « SAP This multidisciplinary skill matrix forms the core of PECs technological leadership, and creates substantial competitive advantages for our customers, in terms of quality, reliability, traceability and operational cost."
pepsico,PepsiCo,Food & Beverages,Public Company,"10,001+ employees",,http://www.pepsico.com,Purchase,New York,10577,United States,"manufacturing, sales, marketing, brand management, gatorade, tropicana, quaker oats, frito-lay, pepsi, mtn dew, doritos, mirinda, pepsi max, tostitos, aquafina, sierra mist, fritos, lipton, cheetos, 7up","PepsiCo is a global food and beverage leader with net revenues of more than $65 billion and a product portfolio that includes 22 brands that generate more than $1 billion each in annual retail sales. Our main businesses _ Quaker, Tropicana, Gatorade, Frito-Lay and Pepsi-Cola _ make hundreds of enjoyable foods and beverages that are loved throughout the world. PepsiCo's people are united by our unique commitment to sustainable growth by investing in a healthier future for people and our planet, which we believe also means a more successful future for PepsiCo. We call this commitment Performance with Purpose: PepsiCo's promise to provide a wide range of foods and beverages from treats to healthy eats; to find innovative ways to minimize our impact on the environment by conserving energy and water and reducing packaging volume; to provide a great workplace for our associates; and to respect, support and invest in the local communities where we operate. In recognition of its continued sustainability efforts, PepsiCo was named for the sixth time to the Dow Jones Sustainability World Index (DJSI World) and for the seventh time to the Dow Jones Sustainability North America Index (DJSI North America) in 20012."
pros,PROS,Computer Software,Public Company,1001-5000 employees,1985,http://www.pros.com,Houston,Texas,77002,United States,"Big Data Software Applications, Sales Effectiveness, Pricing Effectiveness, Rebate Management, Revenue Management","PROS Holdings, Inc. (NYSE: PRO) is a big data software company that helps customers outperform in their markets by using big data to sell more effectively. We apply 29 years of data science experience to unlock buying patterns and preferences within transaction data to reveal which opportunities are most likely to close, which offers are most likely to sell and which prices are most likely to win. PROS offers big data solutions to optimize sales, pricing, quoting, rebates and revenue management across more than 40 industries. PROS has completed over 700 implementations of its solutions in more than 55 countries. The PROS team comprises approximately 1,000 professionals around the world. To learn more, visit www.pros.com."
sabic,SABIC,Chemicals,Public Company,"10,001+ employees",1976,http://www.sabic.com,Riyadh,,11422,Saudi Arabia,"Chemicals, Fertilizers, Plastics, Metals","WELCOME TO SABIC In todayês business world we know that both quarterly targets and longer term strategies are important. We get how business works and what brings sustained growth and market leadership. Thatês why weêre grounded in materials _ but ultimately we help POWER OUR CUSTOMERSê COMPETITIVE ADVANTAGE for the long term. It is from our customersê commercial ambitions that we challenge the status quo. It is with relentless drive and genuine commitment that we deliver on that challenge. We bring together unparalleled capabilities: « Ingenuity is our lifeblood « A passion for collaborative working « A legacy of creating innovative applications « Depth and scale of activities Our expertise creates tailored material solutions that help our customers change the world for good. SABIC is the Saudi Basic Industries Corporation, one of the worldês leading manufacturers of chemicals, fertilizers, plastics and metals."
sage-clarity,Sage Clarity,Information Technology and Services,Privately Held,11-50 employees,2010,http://www.sageclarity.com,Chicago,Illinois,60606,United States,,"Sage Clarity is developing solutions to enable the –Next Generation Manufacturing Enterprise.” We provide leading edge manufacturing solutions to enable the hyper information enabled workforce of the future. This includes collaboration tools, social media technologies and execution methods all geared toward the hyper information enabled workforce. Sage Clarity is focused on the tools and technologies that enable better decision making in manufacturing. Sage Clarity combines best of breed manufacturing applications with rich data visualization to enhance supply chain performance. This coupled with our experienced manufacturing consultants lends Clarity and Insight to manufacturing operations."
saint-gobain,Saint-Gobain,Building Materials,Privately Held,"10,001+ employees",1665,http://www.saint-gobain.com,,,,,"Building materials and solutions, Construction Products, Flat Glass, Building Distribution, High-Performance Materials, Glass containers","Saint-Gobain, the world leader in the habitat and construction markets, designs, manufactures and distributes high-performance building materials, providing innovative solutions to the challenges of growth, energy efficiency and environmental protection. With 2013 sales of —42 billion, Saint-Gobain operates in 64 countries and has nearly 190,000 employees. + A strategic focus on sustainable homes: We are constantly innovating to make homes more comfortable, cost-efficient and sustainable worldwide. Saint-Gobain solutions span from self-cleaning windows and photovoltaic glass to smart insulation systems, water supply systems, solar solutions and building materials distribution. The market leader in all our businesses, we offer solutions to the major challenges of energy efficiency and environmental protection. No matter what new needs emerge in the habitat and construction markets, the future is made of Saint-Gobain. + An innovation-driven Group: Since 1665, Saint-Gobain has consistently demonstrated its ability to invent products that improve quality of life. As one of the top 100 industrial groups in the world, Saint-Gobain continues to deploy its technological know-how, often in partnership with the most prestigious universities and laboratories. To give an idea of our commitment to innovation, 20% of Saint-Gobain products did not exist five years ago."
samtec-inc,Samtec Inc,Electrical/Electronic Manufacturing,Privately Held,1001-5000 employees,1976,http://www.samtec.com,"New Albany,",IN,47151,United States,"Standard and custom made electronic connectors and cable-assemblies, Micro Connectors, Rugged/Power Board-to-Board & Cable-to-Board Solutions, Modified/Custom Connectors, Cable Assemblies, and Optics","Samtec, Inc., a $600,000,000+ privately held, global electronic connector manufacturer in New Albany, Indiana, with high growth and a focus on emerging technology, is seeking candidates interested in working in a fast paced, non-bureaucratic environment. Our 5A1 rating by D&B is reflective in a rapid sales growth rate that outpaces the industry by 3-4 times annually and a virtually non-existent associate turnover rate. Samtec was also recognized as one of the Top 5 Places to Work in the Louisville Metro area, among some of the area's most highly recognizable brands. These and many other reasons make Samtec an excellent place to pursue a career."
sbb-research-group,SBB Research Group,Financial Services,Privately Held,11-50 employees,2010,http://www.sbbrg.com,,,,,,"SBB Research Group is a financial services firm, specializing in financial research, hedge fund management and quantitative analysis. SBB Research Group has over $100 million under management. SBB Research Group is located just outside of Chicago in Northbrook, Illinois."
shmoop,Shmoop,E-Learning,Privately Held,11-50 employees,2007,http://www.shmoop.com,"Mountain View,",CA,94040,United States,"education, publishing, internet, consumer, content, advertising, youth, teachers, learning, literature, history, writing","Since 2007, Shmoop has been a digital publishing company with a point of view. Our teaching method revolves around the basic idea that learning is often too hardãso we carry gallons of academic WD-40 to squirt on the tracks whenever we can. And as an added bonus, weêre funny. At least we like to think so. We own 100% of our content and present both a consistent voice and a distinctive product offering. Only the finest writers from the world's finest long-haired learning institutions (read: PhD students from Stanford, Berkeley, and Harvard) create our free Learning Guides, Online Courses, College Readiness Prep and Test Prep with a teen-friendly, approachable style to help students understand why they should care. We also give students an honest look into life after high school. Our Careers page is written by real, studly Oil Rig Drillers, Delta Force Captains, and Marine Biologists, while our College 101 section tells students what college might actually look, feel, and smell like. Thousands of schools around the world use Shmoop as part of their curriculum, and the company has also been honored by the Interwebs: twice by the Webby Awards and twice by Scholastic Administrator Magazine (–Best in Tech”). By way of further Shmoopy introduction, check out our ""What Is Shmoop"" video below. If you're an educator and are intrigued to hear more, reach out to us at sales[at]shmoop[dot]com. If you're a reporter contact us at press[at]shmoop[dot]com to get more info!"
state-of-illinois,State of Illinois,Government Administration,Government Agency,"10,001+ employees",,http://illinois.gov,,,,,,"The government of Illinois, under the Constitution of Illinois, has three branches of government: executive, legislative and judicial. The executive branch is split into several statewide elected offices, with the Governor as chief executive, and has numerous departments, agencies, boards and commissions. Legislative functions are granted to the General Assembly, composed of the 118-member House of Representatives and the 59-member Senate. The judiciary is composed of the Supreme Court and lower courts. The government of Illinois has numerous departments, agencies, boards and commissions, but the code departments, so called because they're established by the Civil Administrative Code of Illinois, provide most of the state's services: Department on Aging Department of Agriculture Department of Central Management Services Department of Children and Family Services Department of Commerce and Economic Opportunity Department of Corrections Department of Employment Security Department of Financial and Professional Regulation Department of Healthcare and Family Services Department of Human Rights Department of Human Services Department of Juvenile Justice Department of Labor Department of the Lottery Department of Natural Resources Department of Public Health Department of Revenue Department of State Police Department of Transportation Department of Veterans' Affairs"
tata-consultancy-services,Tata Consultancy Services,Information Technology and Services,Public Company,"10,001+ employees",1968,http://www.tcs.com,Mumbai,Maharashtra,400001,India,"IT Services, Business Solutions, Consulting","Tata Consultancy Services is an IT services, consulting and business solutions organization that delivers real results to global business, ensuring a level of certainty no other firm can match. TCS offers a consulting-led, integrated portfolio of IT, BPS, infrastructure, engineering and assurance services. This is delivered through its unique Global Network Delivery ModelÈ, recognized as the benchmark of excellence in software development. A part of the Tata group, Indiaês largest industrial conglomerate, TCS has over 300,000 of the worldês best-trained consultants in 46 countries. The company generated consolidated revenues of US $13.4 billion for year ended March 31, 2014 and is listed on the National Stock Exchange and Bombay Stock Exchange in India. For more information, visit us at www.tcs.com."
the-mathworks_2,The MathWorks,Computer Software,Privately Held,1001-5000 employees,1984,http://mathworks.com,Natick,MA,1760,United States,,"MathWorksÂ is the leading developer of mathematical computing software. Engineers and scientists worldwide rely on its products to accelerate the pace of discovery, innovation, and development. MATLABÂ, the language of technical computing, is a programming environment for algorithm development, data analysis, visualization, and numeric computation. SimulinkÂ is a graphical environment for simulation and Model-Based Design of multidomain dynamic and embedded systems. The company produces nearly 100 additional products for specialized tasks such as data analysis and image processing."
the-oilgear-company,The Oilgear Company,Mechanical or Industrial Engineering,Privately Held,501-1000 employees,1921,http://www.oilgear.com/,Milwaukee,Wisconsin,53219,United States,"Hydraulic Piston Pumps, Custom Designed Electrohydraulic Control Sytems, Large Hydraulic Cylinders, High Flow, High Pressure Valves","Oilgear designs superior fluid power products for high-pressure and high-flow applications. Products Since 1921, Oilgear has been a leader in the design and manufacturing of superior hydraulic components. Our fluid power products are designed for durability in the most demanding environments. Solutions Oilgear combines superior component technology with our fluid power expertise to design and manufacture fully integrated electrohydraulic control systems. These systems are designed to increase capacity, optimize performance and improve reliability."
united-airlines,United Airlines,Airlines/Aviation,Public Company,"10,001+ employees",,http://www.united.com/,Chicago,IL,60606,United States,"Airline, Travel, Air Cargo, Air Travel, Information Technology","United Airlines and United Express operate approximately 5,000 flights each day to more than 370 destinations throughout the world. With our more than 85,000 dedicated employees located worldwide, and the most comprehensive global route network in the industry, weêre committed to delivering excellent customer service and an enhanced travel experience. We operate from hubs in Chicago, Denver, Guam, Houston, Los Angeles, New York/Newark, San Francisco, Tokyo and Washington, D.C. Weêre also a founding member of the Star Alliance network, which provides service to over 190 countries via 27 member airlines. Weêre continuing to make large-scale investments in our onboard products and now feature more flat-bed seats in our premium cabins and more extra-legroom economy-class seating than any airline in North America. We offer customers more live television access than any other airline in the world, with DIRECTVÂ featured on nearly 200 aircraft. We also continue to modernize our fleet, taking delivery of more than two dozen new Boeing aircraft in 2013. For more information, visit united.com. Also follow United on hub.united.com, Twitter, Facebook, YouTube and Instagram."
us-navy,US Navy,Military,Government Agency,"10,001+ employees",1775,http://www.navy.com/,Washington,DC,20350,United States,"Engineering, Medical, Diver, Air Rescue, Special Forces, Explosive Ordinance Disposal, Information Technology, Cryptology","The U.S. Navy is comprised of more than 500,000 Sailors and civilians, nearly 300 ships and submarines, and more than 3,700 aircraft. Our Sailors serve on the water (aboard ships); under the water (aboard submarines); over the water (in planes and helicopters) and away from the water (ashore in the U.S. and around the world). What happens on the water affects us all. To understand the impact the U.S. Navy makes in our daily lives, think of the 70-80-90 rule. Seventy percent of the earth is covered by water, 80 percent of the earth's population lives near the ocean, and 90 percent of international trade travels by sea. The U.S. Navy meets threats far away, so those threats cannot harm our citizens at home. They protect and defend freedom around the world and also offer opportunities for a great career. If you'd like to learn more about serving in America's Navy, visit navy.com or call 800-USA-NAVY (800-872-6289)."
valdes-engineering-company,Valdes Engineering Company,Oil & Energy,Privately Held,201-500 employees,1992,http://www.valdeseng.com,Lombard,IL,60148,United States,"Engineering Consulting, Engineering Project Management, Detailed Engineering and Design, Process Engineering, Power Engineering Services, Petroleum Refining Engineering Services, Industrial Surveying and Scanning, Chemical Plant Engineering Services","An Industry Leader in Engineering & Project Services Since 1992 Valdes Engineering Company has provided leading engineering, project management, procurement and construction management services. Our expertise and available resources allow us to execute a wide range of projects in both size and complexity tackling the unique challenges our clients face. Together, We Are Rising Above! Valdes Engineering is the recipient of many awards: 2014 USHCC-HBE Elite Award 2013 EHS America's Safest Company Award The Engineering News-Record Top 500 Design Firm ExxonMobil, Joliet Refinery, Gold and Diamond Safety Award Three Rivers Safety Council, Meritorious Performance Award Aux Sable Liquid Products, Zero OSHA Recordable & Lost Time Injuries BP, Outstanding Safety Performance Award Exemplary Safety Scores with Zero OSHA or EPA Citations since Inception Recipient of BP's ""Diverse Supplier of the Year Award"" See more awards on our Safety page : ValdesEng.com/about/safety"
walmart,Walmart,Retail,Public Company,"10,001+ employees",,http://www.walmartcareers.com,,,,,"Retail, e-Commerce, Technology, Transportation and Logistics, Healthcare, Saving people money so they can live better","Each day, itÍs our mission to help people save money so they can live better. And as the worldÍs largest retailer, it takes a lot of really talented people to make this happen. You can join the millions of associates _ 2.2 million, to be exact _ who are already making a difference in our customersÍ lives each day. More than 50 years ago, Sam Walton started the tradition of hiring the best and brightest when he opened our first store. And our strong values still hold true today. Each day, youÍll grow and build new skills as we shape the future of the retail industry around the globe. ItÍs a big responsibility, with career rewards that match. And no matter how big we grow, youÍll always find a culture of support built by people passionate about innovation. Join our family."
worldquant-llc,WorldQuant LLC,Investment Management,Privately Held,201-500 employees,2007,http://www.worldquant.com,"Old Greenwich,",CT,6870,United States,,"WorldQuant is a private institutional investment management complex consisting of an international team of researchers, traders, and technologists who constantly work toward ever-greater quantification and automation in the development of its trading processes. Continuously evolving for ever-greater efficiency enables us to trade today the way others will tomorrow."
wrigley,Wrigley,Consumer Goods,Privately Held,"10,001+ employees",,http://www.wrigley.com,,,,,"Confectionery, Manufacturing, Consumer Packaged Goods","Wrigley is a recognized leader in confections with a wide range of product offerings including gum, mints, hard and chewy candies, and lollipops. WrigleyÍs world-famous brands _ including Extra¬, Orbit¬, Doublemint¬, and 5» chewing gums, as well as confectionery brands Skittles¬, Starburst¬, Altoids¬ and Life Savers¬ _ create simple pleasures for consumers every day. With operations in more than 40 countries and distribution in more than 180 countries, WrigleyÍs brands bring smiles to faces around the globe. The company is headquartered in Chicago, Illinois, employs approximately 17,000 associates globally, and operates as a subsidiary of Mars, Incorporated. Based in McLean, Virginia, Mars has net sales of more than $30 billion, six business segments including Petcare, Chocolate, Wrigley, Food, Drinks, Symbioscience, and approximately 70,000 Associates worldwide that are putting our Mars Principles into action to make a difference for people and the planet through our performance."
enova-international,Enova International,Financial Services,Public Company,501-1000 employees,2004,http://www.enova.com,Chicago,IL,60606,United States,Financial services and credit products and services,"Enova is a web-based consumer lending company located in downtown Chicago. What began as a dynamic management team, with roots in Silicon Valley and Wall Street, has grown at a tremendous pace since its inception. Today, we are proud to have over 800 Enova team members serving millions of customers in the United States, United Kingdom, Australia, and Canada. At Enova, we believe everyone should have access to simple and trustworthy financial services, regardless of their credit history. ThatÕs why weÕre dedicated to providing convenient and licensed financial services that allow our customers to face their financial needs responsibly. What Sets Us Apart? Enova and its businesses were built on the premise of providing convenient and reliable services by using the most innovative technology available. Supported by a proprietary credit model, extensive marketing relationships and state-of-the-art technology, Enova has the unique tools to meet individualized customer needs."
maclean-fogg-component-solutions,MacLean-Fogg Component Solutions,Automotive,Privately Held,1001-5000 employees,1925,http://www.macleanfoggcs.com,Mundelein,IL,60060,United States,"Fastener Components, Engineered Components, Linkage and Suspension Components, Engineered Plastic Components","MacLean_Fogg Component Solutions is a leading supplier of Fastener Components, Engineered Components, and Linkage & Suspension Components serving many diverse industries. Our Mission is to become the premier, worldwide supplier of value added, engineered, and customer focused solutions that leverage our material forming expertise in these three product fields. The keys to our success are the engagement of our dynamic and adaptive employees, along with the MacLean-Fogg entrepreneurial culture. Our Goals are supported by a robust performance management process, and commitment to operational excellence. Through our ÒCommitment to ExcellenceÓ, we will achieve the Growth and profitability that will fuel our continued success. If you want to expand your career while contributing to an innovative, dynamic and rapidly growing manufacturing company, we're a right fit for you. Our highly-skilled, motivated and ingenious people, are without question, our greatest strength. We are the leading supplier of Fasteners, Engineered Components and Linkage & Suspension products that serve many diverse industries. Our innovative culture allows our people accelerate their own development through targeted trainings and growth opportunities. If you're ready to take this calculated risk, come form your career with us."
mcshane-construction-company,McShane Construction Company,Construction,Privately Held,201-500 employees,1984,http://www.mcshane-construction.com,Rosemont,IL,60018,United States,"Distribution, Food Processing, Multi-Family, Senior Living, Student Housing, Affordable Housing, Commercial, Institutional, Sustainable","McShane Construction Company is a national construction services provider leading the delivery of commercial and multi-family projects nationwide. Our full-service approach and unparalleled partnerships we form with our clients, designers, consultants and subcontractors allow us to provide highly functional and sustainable assets to the communities in which we build. Founded in suburban Chicago, Illinois in 1984, McShane Construction offers 30 years of general construction, design/build and construction management experience. The firm has enjoyed market diversification and geographical expansion as it operates regional offices in Auburn, Alabama; Irvine, California; and Phoenix, Arizona. As a result of our best-in-class construction services and robust project portfolio, we have grown into one of the largest and most stable construction companies in the nation. Whether you wish to improve operational efficiencies, increase the return on your investment or expand your business objectives, McShane Construction can turn your vision into a reality. Our solid financial platform, extensive bonding capacity and comprehensive insurance program make us a strategic choice for your next construction project."
